Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1508,Madden NFL 2002,PS,2001,Sports,EA Sports  ,EA Sports  ,,,0.78,0.53,,0.09,1.39
1509,The Sims 4,PS4,2017,Simulation,Electronic Arts  ,Maxis  ,,,0.44,0.72,0.01,0.22,1.39
1510,Street Fighter V,PS4,2016,Fighting,Capcom  ,Capcom  ,,,0.64,0.42,0.12,0.22,1.39
1511,Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios  ,Avalanche Software  ,,,0.63,0.62,,0.14,1.39
1512,Sonic Generations,X360,2011,Platform,Sega  ,Sonic Team  ,7.7,,0.71,0.54,0.0,0.13,1.39
1513,NBA Jam,SNES,1994,Sports,Acclaim Entertainment  ,Iguana Entertainment  ,,,1.19,0.16,,0.03,1.39
1514,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1992,Action,Konami  ,Konami  ,,,1.05,0.17,0.15,0.02,1.39
1515,Battlefield 4,PC,2013,Shooter,Electronic Arts  ,EA DICE  ,,,0.44,0.85,,0.1,1.39
1516,Dynasty Warriors 5,PS2,2005,Action,KOEI  ,Omega Force  ,,,0.24,0.18,0.91,0.06,1.39
1517,Assassin's Creed Odyssey,XOne,2018,Action-Adventure,Ubisoft  ,Ubisoft Quebec  ,,,0.91,0.35,,0.13,1.39
1518,Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios  ,Avalanche Software  ,,,0.87,0.38,,0.13,1.39
1519,Bakugan: Battle Brawlers,DS,2009,Action,Activision  ,MTO  ,6.4,,1.26,0.02,,0.1,1.38
1520,Far Cry 2,PS3,2008,Shooter,Ubisoft  ,Ubisoft Montreal  ,8.4,,0.43,0.69,0.01,0.26,1.38
1521,True Crime: Streets of LA,XB,2003,Action,Activision  ,Luxoflux  ,,,0.96,0.37,,0.05,1.38
1522,Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix  ,Eidos Montreal  ,8.8,,0.77,0.47,0.02,0.12,1.38
1523,The Sims 2,PSP,2005,Simulation,Electronic Arts  ,Maxis  ,6.2,,0.49,0.56,,0.33,1.38
1524,Paper Mario,N64,2001,Role-Playing,Nintendo  ,Intelligent Systems  ,9.1,,0.58,0.18,0.59,0.02,1.38
1525,Rocket League,XOne,2016,Sports,505 Games  ,Psyonix Studios  ,8.0,,0.52,0.75,,0.11,1.38
1526,Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix  ,Eidos Montreal  ,8.8,,0.5,0.6,0.07,0.22,1.38
1527,Duke Nukem: Time to Kill,PS,1998,Shooter,GT Interactive  ,n-Space  ,,,0.77,0.54,,0.07,1.38
1528,The Elder Scrolls Online: Tamriel Unlimited,XOne,2015,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,0.86,0.39,,0.13,1.38
1529,Titanfall,X360,2014,Shooter,Electronic Arts  ,Respawn Entertainment  ,,,0.88,0.35,0.02,0.13,1.38
1530,SimCity (2013),PC,2013,Simulation,Electronic Arts  ,Maxis  ,,,0.48,0.79,,0.11,1.38
1531,Dave Mirra Freestyle BMX 2,PS2,2001,Sports,Acclaim Entertainment  ,"Z-Axis, Ltd.  ",,,0.67,0.53,,0.18,1.38
1532,LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment  ,Media Molecule  ,,,0.36,0.69,0.02,0.31,1.38
1533,Titanfall 2,XOne,2016,Shooter,Electronic Arts  ,Respawn Entertainment  ,,,0.88,0.37,,0.13,1.37
1534,LEGO Indiana Jones: The Original Adventures,PS2,2008,Adventure,LucasArts  ,Traveller's Tales  ,,,0.6,0.01,,0.76,1.37
1535,Call of Duty: Black Ops,Wii,2010,Shooter,Activision  ,Treyarch  ,7.5,,0.8,0.46,,0.12,1.37
1536,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix  ,Square Enix / Think and Feel Inc.  ,8.2,,0.33,0.41,0.54,0.1,1.37
1537,Crysis 2,X360,2011,Shooter,Electronic Arts  ,Crytek  ,8.7,,0.73,0.5,0.02,0.13,1.37
1538,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision  ,"Livesay Technologies, Inc.  ",3.8,,0.76,0.52,,0.09,1.37
1539,Dead Rising 2,PS3,2010,Action,Capcom  ,Blue Castle Games  ,8.1,,0.43,0.57,0.15,0.22,1.37
1540,Pokken Tournament,WiiU,2016,Fighting,Nintendo  ,Namco Bandai Games  ,7.6,,0.68,0.4,0.18,0.11,1.37
1541,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,LucasArts  ,Obsidian Entertainment  ,,9.3,0.99,0.33,,0.05,1.37
1542,NBA 2K15,PS3,2014,Sports,2K Sports  ,Visual Concepts  ,,,0.89,0.22,0.02,0.24,1.37
1543,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo  ,HAL Laboratory  ,,,,,1.37,,1.37
1544,Ridge Racer 7,PS3,2006,Racing,Namco Bandai  ,Namco Bandai  ,,,0.24,0.7,0.16,0.26,1.37
1545,Need for Speed: The Run,X360,2011,Racing,Electronic Arts  ,EA Black Box  ,5.5,,0.63,0.57,0.0,0.16,1.37
1546,LEGO Harry Potter: Years 1-4,PS3,2010,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.9,,0.55,0.61,,0.21,1.37
1547,GoldenEye 007,Wii,2010,Shooter,Activision  ,Eurocom Entertainment Software  ,8.0,,0.76,0.6,0.0,,1.36
1548,Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,0.86,0.45,,0.06,1.36
1549,Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,Vivendi Games  ,Vicarious Visions  ,7.5,,0.63,0.66,,0.07,1.36
1550,Wolfenstein II: The New Colossus,PS4,2017,Shooter,Bethesda Softworks  ,MachineGames  ,9.0,,0.55,0.58,0.01,0.22,1.36
1551,SingStar Abba,PS2,2008,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.23,0.04,,1.09,1.36
1552,Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,Enix  ,Heart Beat  ,,,,,1.36,0.0,1.36
1553,Gradius,NES,1986,Shooter,Konami  ,Konami  ,,,0.27,0.08,1.0,0.01,1.36
1554,Centipede,2600,1982,Shooter,Atari  ,Atari  ,,,1.26,0.08,,0.01,1.36
1555,Gardening Mama,DS,2009,Puzzle,Majesco  ,Taito Corporation  ,6.6,,0.79,0.42,0.01,0.13,1.36
1556,Dead to Rights,PS2,2002,Shooter,Namco  ,Namco  ,,,0.67,0.52,,0.17,1.36
1557,Skylanders SWAP Force,X360,2013,Platform,Activision  ,Unknown  ,,,0.88,0.35,,0.13,1.36
1558,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom  ,Capcom  ,8.2,,0.81,0.28,0.11,0.15,1.36
1559,FIFA 17,PS3,2016,Sports,Electronic Arts  ,EA Canada  ,,,0.14,0.98,0.04,0.2,1.36
1560,Metroid: Other M,Wii,2010,Action,Nintendo  ,Nintendo SPD Production Group 1/Team Ninja  ,7.7,,0.85,0.28,0.13,0.1,1.36
1561,Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts  ,EA Bright Light  ,6.4,,0.7,0.52,,0.13,1.36
1562,MotorStorm: Pacific Rift,PS3,2008,Racing,Sony Computer Entertainment  ,Evolution Studios  ,8.0,8.7,0.43,0.66,0.02,0.25,1.36
1563,WWE '13,PS3,2012,Sports,THQ  ,Unknown  ,,,0.51,0.62,,0.22,1.35
1564,Dance Dance Revolution (Japan),PS,1999,Simulation,Konami  ,Konami Computer Entertainment Tokyo  ,,,,,1.26,0.09,1.35
1565,Madden NFL 98,PS,1997,Sports,EA Sports  ,EA Tiburon  ,,,1.29,0.03,,0.03,1.35
1566,Burnout Paradise,X360,2008,Racing,Electronic Arts  ,Criterion  ,8.9,,0.63,0.57,0.01,0.14,1.35
1567,Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios  ,Papaya Studios  ,,,1.22,0.03,,0.1,1.35
1568,FIFA Soccer 08,PSP,2007,Sports,EA Sports  ,EA Canada  ,7.9,,0.2,0.76,,0.39,1.35
1569,Samurai Warriors,PS2,2004,Action,KOEI  ,Omega Force  ,,,0.22,0.05,1.06,0.02,1.35
1570,The Simpsons: Hit & Run,XB,2003,Racing,VU Games  ,Radical Entertainment  ,,,0.7,0.58,,0.07,1.35
1571,FIFA Soccer 09,PSP,2008,Sports,EA Sports  ,EA Canada  ,8.1,,0.23,0.73,0.02,0.37,1.35
1572,SaGa Frontier,PS,1998,Role-Playing,Sony Computer Entertainment  ,SquareSoft  ,8.0,,0.15,0.04,1.07,0.09,1.35
1573,Watch Dogs 2,XOne,2016,Action,Ubisoft  ,Ubisoft  ,,,0.71,0.53,,0.12,1.35
1574,SingStar Party,PS2,2004,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,,,1.04,,0.31,1.35
1575,FIFA Soccer 08,X360,2007,Sports,EA Sports  ,EA Canada  ,,,0.31,0.89,0.01,0.14,1.35
1576,Monster Hunter Freedom,PSP,2006,Role-Playing,Capcom  ,Capcom  ,7.0,,0.24,0.04,1.03,0.04,1.34
1577,Test Drive,PS2,2002,Racing,Atari  ,Pitbull Syndicate  ,,,0.95,0.21,0.01,0.18,1.34
1578,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft  ,Ubisoft Montreal  ,8.2,,0.66,0.45,0.04,0.2,1.34
1579,Chrono Trigger,DS,2008,Role-Playing,Square Enix  ,Square Enix  ,9.2,,0.61,0.17,0.49,0.08,1.34
1580,Devil May Cry 4,X360,2008,Action,Capcom  ,Capcom  ,8.5,,0.79,0.34,0.08,0.13,1.34
1581,Super Street Fighter IV,PS3,2010,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,,0.68,0.33,0.18,0.15,1.34
1582,F1 2010,PS3,2010,Racing,Codemasters  ,Codemasters Birmingham  ,8.4,,0.25,0.75,0.08,0.26,1.34
1583,Mortal Kombat 3,GEN,1995,Fighting,Williams Entertainment  ,Sculptured Software  ,,,1.03,0.27,,0.04,1.34
1584,Doom 3,XB,2005,Shooter,Activision  ,Vicarious Visions  ,,,0.85,0.43,,0.06,1.34
1585,The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment  ,Bluepoint Games  ,9.0,,0.67,0.36,0.13,0.18,1.34
1586,Donkey Kong Jungle Beat,GC,2005,Platform,Nintendo  ,Nintendo EAD Tokyo  ,7.9,,0.84,0.22,0.24,0.04,1.34
1587,Need for Speed Carbon,PS2,2006,Racing,Electronic Arts  ,EA Black Box  ,7.7,,1.22,0.05,0.05,0.01,1.34
1588,Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts  ,EA Digital Illusions CE  ,8.6,,0.76,0.36,0.05,0.17,1.34
1589,Command & Conquer: Red Alert 2,PC,2000,Strategy,Electronic Arts  ,Westwood Studios  ,8.9,,1.32,0.02,,,1.34
1590,Lost Planet: Extreme Condition,X360,2007,Shooter,Capcom  ,Capcom  ,7.6,,1.09,0.04,0.1,0.1,1.34
1591,The Legend of Zelda: Breath of the Wild,WiiU,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,10.0,10.0,0.66,0.42,0.15,0.11,1.34
1592,Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Rockstar Games  ,Remedy Entertainment  ,6.8,,0.65,0.51,,0.17,1.34
1593,MVP Baseball 2004,PS2,2004,Sports,Electronic Arts  ,EA Sports  ,,,1.1,0.06,,0.18,1.34
1594,Grand Theft Auto V,PC,2015,Action,Rockstar Games  ,Rockstar North  ,,,0.48,0.76,,0.1,1.33
1595,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Platform,Sony Computer Entertainment  ,Insomniac Games  ,,,1.27,0.05,,0.02,1.33
1596,WWE 2K18,PS4,2017,Sports,2K Sports  ,Yuke's  ,,,0.45,0.67,,0.22,1.33
1597,Crysis 2,PS3,2011,Shooter,Electronic Arts  ,Crytek  ,8.8,,0.48,0.57,0.06,0.22,1.33
1598,Saints Row IV,PS3,2013,Action,Deep Silver  ,Volition Inc.  ,,,0.58,0.45,0.09,0.21,1.33
1599,Alan Wake,X360,2010,Action,Microsoft Game Studios  ,Remedy Entertainment  ,8.3,,0.66,0.5,0.05,0.12,1.33
1600,Spider-Man: The Movie,GBA,2002,Platform,Activision  ,Digital Eclipse  ,7.9,,0.92,0.35,0.01,0.05,1.33
1601,The Sims: Bustin' Out,GBA,2003,Simulation,Electronic Arts  ,Griptonite Games  ,,,0.93,0.35,,0.06,1.33
1602,Tony Hawk's Pro Skater,GB,2000,Sports,Activision  ,Natsume  ,7.1,,0.9,0.38,0.01,0.05,1.33
1603,WWF War Zone,N64,1998,Fighting,Acclaim Entertainment  ,Acclaim Studios Salt Lake City  ,,,1.08,0.24,,0.02,1.33
1604,Triple Play 2001,PS,2000,Sports,EA Sports  ,Treyarch  ,,,0.74,0.5,,0.09,1.33
1605,Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo  ,Retro Studios  ,9.2,,0.87,0.35,0.07,0.04,1.33
1606,Corvette,PS2,2004,Racing,Global Star Software  ,Steel Monkeys  ,,,0.65,0.51,,0.17,1.33
1607,Grand Theft Auto: Chinatown Wars,DS,2009,Adventure,Rockstar Games  ,Rockstar Leeds/North  ,9.5,9.6,0.58,0.56,0.05,0.14,1.33
1608,WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ  ,Yuke's Media Creations  ,7.3,,0.62,0.5,0.01,0.2,1.33
1609,Skylanders Giants,X360,2012,Misc,Activision  ,Toys for Bob  ,,,0.76,0.44,,0.12,1.32
1610,UFC Undisputed 2010,X360,2010,Fighting,THQ  ,Yuke's Future Media Creators  ,8.6,,0.9,0.31,0.0,0.11,1.32
1611,Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft  ,Ubisoft Montreal  ,7.0,,0.79,0.41,0.0,0.12,1.32
1612,Kirby: Planet Robobot,3DS,2016,Action,Nintendo  ,HAL Laboratory  ,7.7,,0.41,0.22,0.64,0.06,1.32
1613,Fallout 76,PS4,2018,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,5.1,,0.52,0.49,0.1,0.2,1.32
1614,Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts  ,Team Fusion  ,7.6,,0.69,0.38,0.02,0.24,1.32
1615,Gyromite,NES,1985,Puzzle,Nintendo  ,Nintendo R&D1  ,,,0.73,0.16,0.4,0.03,1.32
1616,TOCA 2 Touring Car Championship,PS,1999,Racing,Codemasters  ,Codemasters  ,,,0.03,1.16,0.02,0.11,1.32
1617,Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft  ,Magic Pockets  ,,,0.71,0.48,,0.13,1.32
1618,MAG: Massive Action Game,PS3,2010,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,7.4,9.5,0.77,0.3,0.09,0.16,1.32
1619,NFL 2K3,PS2,2002,Sports,Sega  ,Visual Concepts  ,,,1.06,0.08,,0.18,1.32
1620,Fighting Force,PS,1997,Action,Eidos Interactive  ,Core Design Ltd.  ,,,0.73,0.5,,0.09,1.32
1621,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2004,Role-Playing,Capcom  ,Capcom  ,,,0.31,0.04,0.96,0.01,1.32
1622,World of Warcraft: Wrath of the Lich King,PC,2008,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,9.3,0.01,0.13,,1.18,1.32
1623,Madden NFL 97,PS,1996,Sports,EA Sports  ,EA Tiburon  ,,,0.73,0.5,,0.09,1.32
1624,Rage,PS3,2011,Shooter,Bethesda Softworks  ,id Software  ,7.9,,0.47,0.59,0.06,0.2,1.32
1625,The LEGO Movie Videogame,X360,2014,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,0.69,0.51,,0.11,1.32
1626,TNN Motor Sports Hardcore 4x4,PS,1996,Racing,ASC Games  ,Gremlin Interactive  ,,,0.73,0.5,,0.09,1.31
1627,FIFA 14,XOne,2013,Sports,EA Sports  ,EA Canada  ,,,0.44,0.78,,0.1,1.31
1628,IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks  ,Bethesda Softworks  ,,,0.64,0.5,,0.17,1.31
1629,Namco Museum DS,DS,2007,Misc,Namco Bandai  ,M2  ,,,1.14,0.01,0.06,0.1,1.31
1630,Lego Star Wars: The Force Awakens,PS4,2016,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,0.3,0.78,0.02,0.2,1.31
1631,Madagascar,PS2,2005,Platform,Activision  ,Toys for Bob  ,6.4,,0.78,0.45,,0.07,1.31
1632,Pokémon Mystery Dungeon: Gates to Infinity,3DS,2013,Role-Playing,Nintendo  ,Spike Chunsoft  ,5.9,,0.44,0.32,0.47,0.07,1.31
1633,Rugrats Studio Tour,PS,1999,Adventure,THQ  ,n-Space  ,,,0.57,0.67,,0.07,1.31
1634,LEGO Batman: The Videogame,PS3,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.2,,0.72,0.39,,0.19,1.31
1635,Pitfall II: Lost Caverns,2600,1983,Platform,Activision  ,Activision  ,,,1.22,0.07,,0.02,1.31
1636,[Prototype],X360,2009,Action,Activision  ,Radical Entertainment  ,7.9,,0.84,0.35,,0.12,1.31
1637,Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment  ,Acclaim Studios Austin  ,,,0.64,0.5,,0.17,1.31
1638,The Beatles: Rock Band,X360,2009,Misc,MTV Games  ,Harmonix Music Systems  ,8.9,,0.97,0.23,,0.11,1.31
1639,EA Sports UFC 2,PS4,2016,Sports,EA Sports  ,EA Canada  ,,,0.44,0.65,,0.21,1.31
1640,Burnout 3: Takedown,XB,2004,Racing,Electronic Arts  ,Criterion Games  ,9.3,,0.84,0.43,,0.04,1.31
1641,Adventure,2600,2078,Adventure,Atari  ,Atari  ,,,1.21,0.08,,0.01,1.3
1642,Yu-Gi-Oh! The Sacred Cards,GBA,2003,Role-Playing,Konami  ,Konami  ,,,0.94,0.35,,0.02,1.3
1643,NBA Live 07,PS2,2006,Sports,EA Sports  ,EA Canada  ,6.3,,1.07,0.04,0.02,0.17,1.3
1644,Final Fantasy X / X-2 HD Remaster,PS3,2014,Role-Playing,Square Enix  ,Square Enix  ,8.5,,0.43,0.39,0.32,0.16,1.3
1645,Tekken 6,X360,2009,Fighting,Namco Bandai  ,Namco Bandai Games  ,7.8,,0.71,0.41,0.05,0.13,1.3
1646,SingStar '80s,PS2,2007,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.27,0.02,,1.02,1.3
1647,Pokémon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo  ,Creatures Inc.  ,6.5,,0.5,0.17,0.58,0.05,1.3
1648,LEGO Batman: The Videogame,PSP,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.9,,0.57,0.46,,0.27,1.3
1649,Romancing SaGa 3,SNES,1995,Role-Playing,Square  ,SquareSoft  ,,,,,1.29,0.01,1.3
1650,Test Drive 5,PS,1998,Racing,Accolade  ,Pitbull Syndicate  ,,,1.05,0.2,,0.05,1.3
1651,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft  ,Ubisoft Sofia  ,,,0.46,0.57,0.07,0.2,1.3
1652,Sonic Colors,DS,2010,Platform,Sega  ,Sonic Team  ,8.2,8.1,0.69,0.48,0.01,0.12,1.3
1653,Digimon World,PS,2000,Role-Playing,Bandai  ,Bandai  ,,,0.56,0.38,0.28,0.08,1.3
1654,High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios  ,Page 44 Studios  ,,,0.67,0.49,0.0,0.13,1.29
1655,The Last Guardian,PS4,2016,Action-Adventure,Sony Interactive Entertainment  ,SIE Japan Studio  ,7.9,,0.4,0.58,0.13,0.19,1.29
1656,Deal or No Deal,Wii,2009,Misc,Zoo Games  ,Black Lantern Studios  ,,,1.2,,,0.09,1.29
1657,Mega Man Battle Network 3 Blue / White Version,GBA,2003,Role-Playing,Capcom  ,Capcom  ,,,0.39,0.02,0.85,0.03,1.29
1658,Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo  ,AlphaDream Corporation  ,8.8,,0.74,0.05,0.43,0.07,1.29
1659,Watch Dogs,X360,2014,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,0.73,0.44,0.01,0.11,1.29
1660,Resident Evil Zero,GC,2002,Action,Capcom  ,Capcom Production Studio 3 / Flagship  ,8.2,,0.54,0.27,0.45,0.04,1.29
1661,Dark Souls II,PS3,2015,Role-Playing,Namco Bandai Games  ,From Software  ,,,0.38,0.35,0.41,0.15,1.29
1662,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive  ,Pocket Studios  ,,,0.93,0.34,,0.02,1.29
1663,WWE 2K16,PS4,2015,Sports,Take-Two Interactive  ,Yuke's  ,,,0.43,0.65,,0.21,1.29
1664,Transformers,PS2,2004,Shooter,Atari  ,Melbourne House  ,7.8,,0.63,0.49,,0.16,1.29
1665,EA Playground,Wii,2007,Sports,Electronic Arts  ,EA Canada  ,,,0.68,0.47,,0.13,1.29
1666,LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive  ,Hellbent Games  ,,,0.79,0.38,,0.12,1.29
1667,Gold's Gym: Cardio Workout,Wii,2009,Sports,Ubisoft  ,Rocket Company  ,,,1.1,0.04,0.06,0.09,1.29
1668,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Rockstar Games  ,Rockstar San Diego  ,,,1.22,0.05,,0.01,1.29
1669,Borderlands: The Handsome Collection,PS4,2015,Shooter,2K Games  ,Gearbox Software  ,,,0.69,0.34,0.03,0.22,1.28
1670,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment  ,Snowblind Studios  ,8.5,,0.63,0.49,,0.16,1.28
1671,Project CARS,PS4,2015,Racing,Bandai Namco Games  ,Slightly Mad Studios  ,,,0.29,0.76,0.04,0.19,1.28
1672,Kid Icarus: Uprising,3DS,2012,Action,Nintendo  ,Project Sora  ,8.0,,0.48,0.36,0.37,0.07,1.28
1673,Yakuman,GB,1989,Misc,Nintendo  ,Intelligent Systems  ,,,,,1.28,0.0,1.28
1674,Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft  ,Virtual Toys / Lexis Numerique  ,,,0.55,0.59,,0.14,1.28
1675,Need for Speed Carbon,Wii,2006,Racing,Electronic Arts  ,EA Black Box  ,6.4,,0.45,0.66,0.02,0.15,1.28
1676,Army Men 3D,PS,1999,Action,3DO  ,3DO  ,,,1.1,0.14,,0.04,1.28
1677,Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,0.5,0.56,0.01,0.21,1.28
1678,Twisted Metal 4,PS,1999,Racing,989 Studios  ,989 Studios  ,6.7,,1.07,0.16,,0.04,1.28
1679,Manhunt,PS2,2003,Action,Rockstar Games  ,Rockstar North  ,8.0,,0.63,0.49,,0.16,1.28
1680,Silent Hill 2,PS2,2001,Action,Konami  ,KCET  ,,,0.62,0.49,,0.16,1.28
1681,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision  ,Vicarious Visions  ,,,1.03,0.14,,0.1,1.27
1682,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts  ,Maxis  ,7.5,,1.22,0.05,,,1.27
1683,Castlevania: Symphony of the Night,PS,1997,Platform,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,8.7,0.58,0.4,0.21,0.08,1.27
1684,Valkyria Chronicles,PS3,2008,Role-Playing,Sega  ,Sega WOW Overworks  ,8.4,9.8,0.71,0.19,0.24,0.12,1.27
1685,LEGO Batman: The Videogame,PS2,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.6,,0.72,0.03,,0.52,1.27
1686,Road Rash,PS,1995,Racing,Electronic Arts  ,Advanced Technology Group  ,,,0.71,0.48,,0.08,1.27
1687,Atlantis,2600,1982,Shooter,Imagic  ,Imagic  ,,,1.18,0.08,,0.01,1.27
1688,NBA 2K9,X360,2008,Sports,2K Sports  ,Visual Concepts  ,8.3,,1.0,0.16,,0.11,1.27
1689,WWE '12,X360,2011,Fighting,THQ  ,"Yuke's Co., Ltd.  ",7.5,,0.74,0.4,0.0,0.12,1.27
1690,Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo  ,Big Fish Games  ,7.4,,0.75,0.39,,0.12,1.27
1691,Tony Hawk's Underground,XB,2003,Sports,Activision  ,Neversoft Entertainment  ,,,0.85,0.37,,0.05,1.27
1692,Hogan's Alley,NES,1985,Shooter,Nintendo  ,Intelligent Systems  ,,,0.68,0.16,0.41,0.02,1.27
1693,WWE '13,X360,2012,Misc,THQ  ,Unknown  ,,,0.72,0.44,,0.11,1.27
1694,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Majesco  ,3G Studios  ,,,0.96,0.2,,0.11,1.27
1695,Destiny: The Taken King,XOne,2015,Shooter,Activision  ,Bungie  ,,,0.91,0.23,,0.12,1.27
1696,.hack//Infection Part 1,PS2,2003,Role-Playing,Bandai  ,CyberConnect2  ,7.7,,0.49,0.38,0.26,0.13,1.27
1697,EA Sports Active 2,Wii,2010,Sports,Electronic Arts  ,EA Vancouver  ,8.0,,0.76,0.4,,0.11,1.27
1698,Need for Speed Rivals,PS3,2013,Racing,Electronic Arts  ,Ghost Games  ,,,0.33,0.69,0.05,0.19,1.27
1699,Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega  ,Sonic Team  ,5.4,,0.87,0.3,0.06,0.03,1.27
1700,Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,0.62,0.48,,0.16,1.27
1701,Battle Arena Toshinden,PS,1995,Fighting,Sony Computer Entertainment  ,Tamsoft  ,,,0.39,0.26,0.53,0.08,1.27
1702,Rockstar Games presents Table Tennis,Wii,2007,Sports,Rockstar Games  ,Rockstar San Diego  ,6.8,,0.39,0.73,,0.15,1.26
1703,Devil Dice,PS,1998,Puzzle,THQ  ,Shift  ,,,0.05,0.03,1.1,0.08,1.26
1704,LEGO Harry Potter: Years 5-7,Wii,2011,Action,Warner Bros. Interactive  ,Traveller's Tales  ,,,0.7,0.44,,0.12,1.26
1705,Hyrule Warriors,WiiU,2014,Action,Nintendo  ,Omega Force  ,7.4,,0.59,0.44,0.13,0.1,1.26
1706,Brian Lara Cricket,PS,1998,Sports,Codemasters  ,Codemasters  ,,,0.02,1.13,0.01,0.1,1.26
1707,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive  ,Sports Interactive  ,,,,1.15,,0.11,1.26
1708,Tamagotchi Connection: Corner Shop,DS,2006,Simulation,Bandai  ,NanaOn-Sha  ,,,0.1,0.02,1.12,0.01,1.26
1709,Super Mario 64 DS,DS,2004,Platform,Nintendo  ,Nintendo EAD  ,8.6,,0.01,0.0,1.25,,1.26
1710,Tomb Raider: Underworld,PS3,2008,Adventure,Eidos Interactive  ,Crystal Dynamics  ,7.8,,0.45,0.55,0.05,0.21,1.26
1711,Wheel of Fortune,PS,1998,Misc,Hasbro Interactive  ,Artech Studios  ,,,0.99,0.22,,0.04,1.26
1712,Football Manager 2011,PC,2010,Sports,Sega  ,Sports Interactive  ,8.9,,,1.01,,0.24,1.26
1713,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment  ,Slant Six Games  ,6.3,,0.94,0.17,0.02,0.14,1.26
